date.time,unit,value
10/24/2019 0:42,C,24.129
10/24/2019 4:42,C,22.128
10/24/2019 8:42,C,21.627
10/24/2019 12:42,C,19.625
10/24/2019 16:42,C,17.121
10/24/2019 20:42,C,18.123
10/25/2019 0:42,C,20.626
10/25/2019 4:42,C,19.625
10/25/2019 8:42,C,19.124
10/25/2019 12:42,C,18.623
10/25/2019 16:42,C,18.623
10/25/2019 20:42,C,20.126
10/26/2019 0:42,C,20.126
10/26/2019 4:42,C,20.126
10/26/2019 8:42,C,19.625
10/26/2019 12:42,C,19.625
10/26/2019 16:42,C,21.627
10/26/2019 20:42,C,20.626
10/27/2019 0:42,C,19.625
10/27/2019 4:42,C,18.623
10/27/2019 8:42,C,18.123
10/27/2019 12:42,C,18.623
10/27/2019 16:42,C,19.625
10/27/2019 20:42,C,17.622
10/28/2019 0:42,C,21.127
10/28/2019 4:42,C,18.123
10/28/2019 8:42,C,18.123
10/28/2019 12:42,C,4.071
10/28/2019 16:42,C,3.568
10/28/2019 20:42,C,14.113
10/29/2019 0:42,C,12.608
10/29/2019 4:42,C,4.071
10/29/2019 8:42,C,-0.457
10/29/2019 12:42,C,7.589
10/29/2019 16:42,C,14.113
10/29/2019 20:42,C,6.584
10/30/2019 0:42,C,1.053
10/30/2019 4:42,C,-1.967
10/30/2019 8:42,C,-3.982
10/30/2019 12:42,C,0.55
10/30/2019 16:42,C,4.071
10/30/2019 20:42,C,1.556
10/31/2019 0:42,C,16.62
10/31/2019 4:42,C,18.123
10/31/2019 8:42,C,18.623
10/31/2019 12:42,C,8.593
10/31/2019 16:42,C,11.103
10/31/2019 20:42,C,10.099
11/1/2019 0:42,C,4.574
11/1/2019 4:42,C,2.562
11/1/2019 8:42,C,1.556
11/1/2019 12:42,C,5.076
11/1/2019 16:42,C,15.116
11/1/2019 20:42,C,19.625
11/2/2019 0:42,C,20.626
11/2/2019 4:42,C,18.123
11/2/2019 8:42,C,9.597
11/2/2019 12:42,C,8.593
11/2/2019 16:42,C,9.597
11/2/2019 20:42,C,4.574
11/3/2019 0:42,C,3.568
11/3/2019 3:42,C,3.568
11/3/2019 7:42,C,3.568
11/3/2019 11:42,C,3.065
11/3/2019 15:42,C,3.568
11/3/2019 19:42,C,3.568
11/3/2019 23:42,C,3.568
11/4/2019 3:42,C,4.071
11/4/2019 7:42,C,4.071
11/4/2019 11:42,C,4.071
11/4/2019 15:42,C,4.071
11/4/2019 19:42,C,4.574
11/4/2019 23:42,C,4.574
11/5/2019 3:42,C,4.574
11/5/2019 7:42,C,4.574
11/5/2019 11:42,C,4.574
11/5/2019 15:42,C,4.574
11/5/2019 19:42,C,4.574
11/5/2019 23:42,C,4.574
11/6/2019 3:42,C,4.574
11/6/2019 7:42,C,4.574
11/6/2019 11:42,C,4.071
11/6/2019 15:42,C,4.071
11/6/2019 19:42,C,4.071
11/6/2019 23:42,C,4.071
11/7/2019 3:42,C,4.071
11/7/2019 7:42,C,4.071
11/7/2019 11:42,C,4.071
11/7/2019 15:42,C,4.071
11/7/2019 19:42,C,4.071
11/7/2019 23:42,C,4.071
11/8/2019 3:42,C,3.568
11/8/2019 7:42,C,3.568
11/8/2019 11:42,C,3.568
11/8/2019 15:42,C,3.568
11/8/2019 19:42,C,3.568
11/8/2019 23:42,C,3.568
11/9/2019 3:42,C,3.568
11/9/2019 7:42,C,3.568
11/9/2019 11:42,C,3.568
11/9/2019 15:42,C,3.568
11/9/2019 19:42,C,3.568
11/9/2019 23:42,C,3.568
11/10/2019 3:42,C,3.568
11/10/2019 7:42,C,3.568
11/10/2019 11:42,C,3.568
11/10/2019 15:42,C,3.568
11/10/2019 19:42,C,3.568
11/10/2019 23:42,C,3.065
11/11/2019 3:42,C,3.065
11/11/2019 7:42,C,3.065
11/11/2019 11:42,C,3.065
11/11/2019 15:42,C,3.065
11/11/2019 19:42,C,3.065
11/11/2019 23:42,C,3.065
11/12/2019 3:42,C,3.065
11/12/2019 7:42,C,3.065
11/12/2019 11:42,C,3.065
11/12/2019 15:42,C,3.065
11/12/2019 19:42,C,2.562
11/12/2019 23:42,C,2.562
11/13/2019 3:42,C,2.562
11/13/2019 7:42,C,2.562
11/13/2019 11:42,C,2.562
11/13/2019 15:42,C,2.562
11/13/2019 19:42,C,2.562
11/13/2019 23:42,C,2.562
11/14/2019 3:42,C,2.562
11/14/2019 7:42,C,2.562
11/14/2019 11:42,C,2.562
11/14/2019 15:42,C,2.562
11/14/2019 19:42,C,2.562
11/14/2019 23:42,C,2.562
11/15/2019 3:42,C,2.562
11/15/2019 7:42,C,2.562
11/15/2019 11:42,C,2.562
11/15/2019 15:42,C,2.562
11/15/2019 19:42,C,2.562
11/15/2019 23:42,C,2.059
11/16/2019 3:42,C,2.059
11/16/2019 7:42,C,2.059
11/16/2019 11:42,C,2.059
11/16/2019 15:42,C,2.059
11/16/2019 19:42,C,2.059
11/16/2019 23:42,C,2.059
11/17/2019 3:42,C,2.059
11/17/2019 7:42,C,2.059
11/17/2019 11:42,C,2.059
11/17/2019 15:42,C,2.059
11/17/2019 19:42,C,2.059
11/17/2019 23:42,C,2.059
11/18/2019 3:42,C,2.059
11/18/2019 7:42,C,2.059
11/18/2019 11:42,C,2.059
11/18/2019 15:42,C,2.059
11/18/2019 19:42,C,2.059
11/18/2019 23:42,C,2.059
11/19/2019 3:42,C,2.059
11/19/2019 7:42,C,2.059
11/19/2019 11:42,C,2.059
11/19/2019 15:42,C,2.059
11/19/2019 19:42,C,2.059
11/19/2019 23:42,C,2.059
11/20/2019 3:42,C,2.059
11/20/2019 7:42,C,2.059
11/20/2019 11:42,C,2.059
11/20/2019 15:42,C,2.059
11/20/2019 19:42,C,2.059
11/20/2019 23:42,C,2.059
11/21/2019 3:42,C,2.059
11/21/2019 7:42,C,2.059
11/21/2019 11:42,C,2.059
11/21/2019 15:42,C,2.059
11/21/2019 19:42,C,2.059
11/21/2019 23:42,C,2.059
11/22/2019 3:42,C,2.059
11/22/2019 7:42,C,2.059
11/22/2019 11:42,C,2.059
11/22/2019 15:42,C,2.059
11/22/2019 19:42,C,2.059
11/22/2019 23:42,C,2.059
11/23/2019 3:42,C,2.059
11/23/2019 7:42,C,2.059
11/23/2019 11:42,C,2.059
11/23/2019 15:42,C,2.059
11/23/2019 19:42,C,2.059
11/23/2019 23:42,C,2.059
11/24/2019 3:42,C,2.059
11/24/2019 7:42,C,2.059
11/24/2019 11:42,C,2.059
11/24/2019 15:42,C,2.059
11/24/2019 19:42,C,2.059
11/24/2019 23:42,C,2.059
11/25/2019 3:42,C,2.059
11/25/2019 7:42,C,2.059
11/25/2019 11:42,C,2.059
11/25/2019 15:42,C,2.059
11/25/2019 19:42,C,2.059
11/25/2019 23:42,C,2.059
11/26/2019 3:42,C,2.059
11/26/2019 7:42,C,2.059
11/26/2019 11:42,C,2.059
11/26/2019 15:42,C,2.059
11/26/2019 19:42,C,2.059
11/26/2019 23:42,C,2.059
11/27/2019 3:42,C,2.059
11/27/2019 7:42,C,2.059
11/27/2019 11:42,C,2.059
11/27/2019 15:42,C,2.059
11/27/2019 19:42,C,2.059
11/27/2019 23:42,C,2.059
11/28/2019 3:42,C,2.059
11/28/2019 7:42,C,2.059
11/28/2019 11:42,C,2.059
11/28/2019 15:42,C,2.059
11/28/2019 19:42,C,2.059
11/28/2019 23:42,C,2.059
11/29/2019 3:42,C,2.059
11/29/2019 7:42,C,2.059
11/29/2019 11:42,C,2.059
11/29/2019 15:42,C,2.059
11/29/2019 19:42,C,2.059
11/29/2019 23:42,C,2.059
11/30/2019 3:42,C,2.059
11/30/2019 7:42,C,2.059
11/30/2019 11:42,C,2.059
11/30/2019 15:42,C,2.059
11/30/2019 19:42,C,2.059
11/30/2019 23:42,C,2.059
12/1/2019 3:42,C,2.059
12/1/2019 7:42,C,2.059
12/1/2019 11:42,C,2.059
12/1/2019 15:42,C,2.059
12/1/2019 19:42,C,2.059
12/1/2019 23:42,C,2.059
12/2/2019 3:42,C,2.059
12/2/2019 7:42,C,2.059
12/2/2019 11:42,C,2.059
12/2/2019 15:42,C,2.059
12/2/2019 19:42,C,2.059
12/2/2019 23:42,C,2.059
12/3/2019 3:42,C,2.059
12/3/2019 7:42,C,2.059
12/3/2019 11:42,C,2.059
12/3/2019 15:42,C,2.059
12/3/2019 19:42,C,2.059
12/3/2019 23:42,C,2.059
12/4/2019 3:42,C,2.059
12/4/2019 7:42,C,2.059
12/4/2019 11:42,C,2.059
12/4/2019 15:42,C,2.059
12/4/2019 19:42,C,1.556
12/4/2019 23:42,C,2.059
12/5/2019 3:42,C,2.059
12/5/2019 7:42,C,2.059
12/5/2019 11:42,C,1.556
12/5/2019 15:42,C,1.556
12/5/2019 19:42,C,2.059
12/5/2019 23:42,C,2.059
12/6/2019 3:42,C,1.556
12/6/2019 7:42,C,2.059
12/6/2019 11:42,C,1.556
12/6/2019 15:42,C,1.556
12/6/2019 19:42,C,1.556
12/6/2019 23:42,C,1.556
12/7/2019 3:42,C,1.556
12/7/2019 7:42,C,1.556
12/7/2019 11:42,C,1.556
12/7/2019 15:42,C,1.556
12/7/2019 19:42,C,1.556
12/7/2019 23:42,C,1.556
12/8/2019 3:42,C,1.556
12/8/2019 7:42,C,1.556
12/8/2019 11:42,C,1.556
12/8/2019 15:42,C,1.556
12/8/2019 19:42,C,1.556
12/8/2019 23:42,C,1.556
12/9/2019 3:42,C,1.556
12/9/2019 7:42,C,1.556
12/9/2019 11:42,C,1.556
12/9/2019 15:42,C,1.556
12/9/2019 19:42,C,1.556
12/9/2019 23:42,C,1.556
12/10/2019 3:42,C,1.556
12/10/2019 7:42,C,1.556
12/10/2019 11:42,C,1.556
12/10/2019 15:42,C,1.556
12/10/2019 19:42,C,1.556
12/10/2019 23:42,C,1.556
12/11/2019 3:42,C,1.556
12/11/2019 7:42,C,1.556
12/11/2019 11:42,C,1.556
12/11/2019 15:42,C,1.556
12/11/2019 19:42,C,1.556
12/11/2019 23:42,C,1.556
12/12/2019 3:42,C,1.556
12/12/2019 7:42,C,1.556
12/12/2019 11:42,C,1.556
12/12/2019 15:42,C,1.556
12/12/2019 19:42,C,1.556
12/12/2019 23:42,C,1.556
12/13/2019 3:42,C,1.556
12/13/2019 7:42,C,1.556
12/13/2019 11:42,C,1.556
12/13/2019 15:42,C,1.556
12/13/2019 19:42,C,1.556
12/13/2019 23:42,C,1.556
12/14/2019 3:42,C,1.556
12/14/2019 7:42,C,1.556
12/14/2019 11:42,C,1.556
12/14/2019 15:42,C,1.556
12/14/2019 19:42,C,1.556
12/14/2019 23:42,C,1.556
12/15/2019 3:42,C,1.556
12/15/2019 7:42,C,1.556
12/15/2019 11:42,C,1.556
12/15/2019 15:42,C,1.556
12/15/2019 19:42,C,1.556
12/15/2019 23:42,C,1.556
12/16/2019 3:42,C,1.556
12/16/2019 7:42,C,1.556
12/16/2019 11:42,C,1.556
12/16/2019 15:42,C,1.556
12/16/2019 19:42,C,1.556
12/16/2019 23:42,C,1.556
12/17/2019 3:42,C,1.556
12/17/2019 7:42,C,1.556
12/17/2019 11:42,C,1.556
12/17/2019 15:42,C,1.556
12/17/2019 19:42,C,1.556
12/17/2019 23:42,C,1.556
12/18/2019 3:42,C,1.556
12/18/2019 7:42,C,1.556
12/18/2019 11:42,C,1.556
12/18/2019 15:42,C,1.556
12/18/2019 19:42,C,1.053
12/18/2019 23:42,C,1.053
12/19/2019 3:42,C,1.053
12/19/2019 7:42,C,1.053
12/19/2019 11:42,C,1.053
12/19/2019 15:42,C,1.053
12/19/2019 19:42,C,1.053
12/19/2019 23:42,C,1.053
12/20/2019 3:42,C,1.053
12/20/2019 7:42,C,1.053
12/20/2019 11:42,C,1.053
12/20/2019 15:42,C,1.053
12/20/2019 19:42,C,1.053
12/20/2019 23:42,C,1.053
12/21/2019 3:42,C,1.053
12/21/2019 7:42,C,1.053
12/21/2019 11:42,C,1.053
12/21/2019 15:42,C,1.053
12/21/2019 19:42,C,1.053
12/21/2019 23:42,C,1.053
12/22/2019 3:42,C,1.053
12/22/2019 7:42,C,1.053
12/22/2019 11:42,C,1.053
12/22/2019 15:42,C,1.053
12/22/2019 19:42,C,1.053
12/22/2019 23:42,C,1.053
12/23/2019 3:42,C,1.053
12/23/2019 7:42,C,1.053
12/23/2019 11:42,C,1.053
12/23/2019 15:42,C,1.053
12/23/2019 19:42,C,1.053
12/23/2019 23:42,C,1.053
12/24/2019 3:42,C,1.053
12/24/2019 7:42,C,1.053
12/24/2019 11:42,C,1.053
12/24/2019 15:42,C,1.053
12/24/2019 19:42,C,1.053
12/24/2019 23:42,C,1.053
12/25/2019 3:42,C,1.053
12/25/2019 7:42,C,1.053
12/25/2019 11:42,C,1.053
12/25/2019 15:42,C,1.053
12/25/2019 19:42,C,1.053
12/25/2019 23:42,C,1.053
12/26/2019 3:42,C,1.053
12/26/2019 7:42,C,1.053
12/26/2019 11:42,C,1.053
12/26/2019 15:42,C,1.053
12/26/2019 19:42,C,1.053
12/26/2019 23:42,C,1.053
12/27/2019 3:42,C,1.053
12/27/2019 7:42,C,1.053
12/27/2019 11:42,C,1.053
12/27/2019 15:42,C,1.053
12/27/2019 19:42,C,1.053
12/27/2019 23:42,C,1.053
12/28/2019 3:42,C,1.053
12/28/2019 7:42,C,1.053
12/28/2019 11:42,C,1.053
12/28/2019 15:42,C,1.053
12/28/2019 19:42,C,1.053
12/28/2019 23:42,C,1.053
12/29/2019 3:42,C,1.053
12/29/2019 7:42,C,1.053
12/29/2019 11:42,C,1.053
12/29/2019 15:42,C,1.053
12/29/2019 19:42,C,1.053
12/29/2019 23:42,C,1.053
12/30/2019 3:42,C,1.053
12/30/2019 7:42,C,1.053
12/30/2019 11:42,C,1.053
12/30/2019 15:42,C,1.053
12/30/2019 19:42,C,1.053
12/30/2019 23:42,C,1.053
12/31/2019 3:42,C,1.053
12/31/2019 7:42,C,1.053
12/31/2019 11:42,C,1.053
12/31/2019 15:42,C,1.053
12/31/2019 19:42,C,1.053
12/31/2019 23:42,C,1.053
1/1/2020 3:42,C,1.053
1/1/2020 7:42,C,1.053
1/1/2020 11:42,C,1.053
1/1/2020 15:42,C,1.053
1/1/2020 19:42,C,1.053
1/1/2020 23:42,C,1.053
1/2/2020 3:42,C,1.053
1/2/2020 7:42,C,1.053
1/2/2020 11:42,C,1.053
1/2/2020 15:42,C,1.053
1/2/2020 19:42,C,1.053
1/2/2020 23:42,C,1.053
1/3/2020 3:42,C,1.053
1/3/2020 7:42,C,1.053
1/3/2020 11:42,C,1.053
1/3/2020 15:42,C,1.053
1/3/2020 19:42,C,1.053
1/3/2020 23:42,C,1.053
1/4/2020 3:42,C,1.053
1/4/2020 7:42,C,1.053
1/4/2020 11:42,C,1.053
1/4/2020 15:42,C,1.053
1/4/2020 19:42,C,1.053
1/4/2020 23:42,C,1.053
1/5/2020 3:42,C,1.053
1/5/2020 7:42,C,1.053
1/5/2020 11:42,C,1.053
1/5/2020 15:42,C,1.053
1/5/2020 19:42,C,1.053
1/5/2020 23:42,C,1.053
1/6/2020 3:42,C,1.053
1/6/2020 7:42,C,1.053
1/6/2020 11:42,C,1.053
1/6/2020 15:42,C,1.053
1/6/2020 19:42,C,1.053
1/6/2020 23:42,C,1.053
1/7/2020 3:42,C,1.053
1/7/2020 7:42,C,1.053
1/7/2020 11:42,C,1.053
1/7/2020 15:42,C,1.053
1/7/2020 19:42,C,1.053
1/7/2020 23:42,C,1.053
1/8/2020 3:42,C,1.053
1/8/2020 7:42,C,1.053
1/8/2020 11:42,C,1.053
1/8/2020 15:42,C,1.053
1/8/2020 19:42,C,1.053
1/8/2020 23:42,C,1.053
1/9/2020 3:42,C,1.053
1/9/2020 7:42,C,1.053
1/9/2020 11:42,C,1.053
1/9/2020 15:42,C,1.053
1/9/2020 19:42,C,1.053
1/9/2020 23:42,C,1.053
1/10/2020 3:42,C,1.053
1/10/2020 7:42,C,1.053
1/10/2020 11:42,C,1.053
1/10/2020 15:42,C,1.053
1/10/2020 19:42,C,1.053
1/10/2020 23:42,C,1.053
1/11/2020 3:42,C,1.053
1/11/2020 7:42,C,1.053
1/11/2020 11:42,C,1.053
1/11/2020 15:42,C,1.053
1/11/2020 19:42,C,1.053
1/11/2020 23:42,C,1.053
1/12/2020 3:42,C,1.053
1/12/2020 7:42,C,1.053
1/12/2020 11:42,C,1.053
1/12/2020 15:42,C,1.053
1/12/2020 19:42,C,1.053
1/12/2020 23:42,C,1.053
1/13/2020 3:42,C,1.053
1/13/2020 7:42,C,1.053
1/13/2020 11:42,C,1.053
1/13/2020 15:42,C,1.053
1/13/2020 19:42,C,1.053
1/13/2020 23:42,C,1.053
1/14/2020 3:42,C,1.053
1/14/2020 7:42,C,1.053
1/14/2020 11:42,C,1.053
1/14/2020 15:42,C,1.053
1/14/2020 19:42,C,1.053
1/14/2020 23:42,C,1.053
1/15/2020 3:42,C,1.053
1/15/2020 7:42,C,1.053
1/15/2020 11:42,C,1.053
1/15/2020 15:42,C,1.053
1/15/2020 19:42,C,1.053
1/15/2020 23:42,C,1.053
1/16/2020 3:42,C,1.053
1/16/2020 7:42,C,1.053
1/16/2020 11:42,C,1.053
1/16/2020 15:42,C,1.053
1/16/2020 19:42,C,1.053
1/16/2020 23:42,C,1.053
1/17/2020 3:42,C,1.053
1/17/2020 7:42,C,1.053
1/17/2020 11:42,C,1.053
1/17/2020 15:42,C,1.053
1/17/2020 19:42,C,1.053
1/17/2020 23:42,C,1.053
1/18/2020 3:42,C,1.053
1/18/2020 7:42,C,1.053
1/18/2020 11:42,C,1.053
1/18/2020 15:42,C,1.053
1/18/2020 19:42,C,1.053
1/18/2020 23:42,C,1.053
1/19/2020 3:42,C,1.053
1/19/2020 7:42,C,1.053
1/19/2020 11:42,C,1.053
1/19/2020 15:42,C,1.053
1/19/2020 19:42,C,1.053
1/19/2020 23:42,C,1.053
1/20/2020 3:42,C,1.053
1/20/2020 7:42,C,1.053
1/20/2020 11:42,C,1.053
1/20/2020 15:42,C,1.053
1/20/2020 19:42,C,1.053
1/20/2020 23:42,C,1.053
1/21/2020 3:42,C,1.053
1/21/2020 7:42,C,1.053
1/21/2020 11:42,C,1.053
1/21/2020 15:42,C,1.053
1/21/2020 19:42,C,1.053
1/21/2020 23:42,C,1.053
1/22/2020 3:42,C,1.053
1/22/2020 7:42,C,1.053
1/22/2020 11:42,C,1.053
1/22/2020 15:42,C,1.053
1/22/2020 19:42,C,1.053
1/22/2020 23:42,C,1.053
1/23/2020 3:42,C,1.053
1/23/2020 7:42,C,1.053
1/23/2020 11:42,C,1.053
1/23/2020 15:42,C,1.053
1/23/2020 19:42,C,1.053
1/23/2020 23:42,C,1.053
1/24/2020 3:42,C,1.053
1/24/2020 7:42,C,1.053
1/24/2020 11:42,C,1.053
1/24/2020 15:42,C,1.053
1/24/2020 19:42,C,1.053
1/24/2020 23:42,C,1.053
1/25/2020 3:42,C,1.053
1/25/2020 7:42,C,1.053
1/25/2020 11:42,C,1.053
1/25/2020 15:42,C,1.053
1/25/2020 19:42,C,1.053
1/25/2020 23:42,C,1.053
1/26/2020 3:42,C,1.053
1/26/2020 7:42,C,1.053
1/26/2020 11:42,C,1.053
1/26/2020 15:42,C,1.053
1/26/2020 19:42,C,1.053
1/26/2020 23:42,C,1.053
1/27/2020 3:42,C,1.053
1/27/2020 7:42,C,1.053
1/27/2020 11:42,C,1.053
1/27/2020 15:42,C,1.053
1/27/2020 19:42,C,1.053
1/27/2020 23:42,C,1.053
1/28/2020 3:42,C,1.053
1/28/2020 7:42,C,1.053
1/28/2020 11:42,C,1.053
1/28/2020 15:42,C,1.053
1/28/2020 19:42,C,1.053
1/28/2020 23:42,C,1.053
1/29/2020 3:42,C,1.053
1/29/2020 7:42,C,1.053
1/29/2020 11:42,C,1.053
1/29/2020 15:42,C,1.053
1/29/2020 19:42,C,1.053
1/29/2020 23:42,C,1.053
1/30/2020 3:42,C,1.053
1/30/2020 7:42,C,1.053
1/30/2020 11:42,C,1.053
1/30/2020 15:42,C,1.053
1/30/2020 19:42,C,1.053
1/30/2020 23:42,C,1.053
1/31/2020 3:42,C,1.053
1/31/2020 7:42,C,1.053
1/31/2020 11:42,C,1.053
1/31/2020 15:42,C,1.053
1/31/2020 19:42,C,1.053
1/31/2020 23:42,C,1.053
2/1/2020 3:42,C,1.053
2/1/2020 7:42,C,1.053
2/1/2020 11:42,C,1.053
2/1/2020 15:42,C,1.053
2/1/2020 19:42,C,1.053
2/1/2020 23:42,C,1.053
2/2/2020 3:42,C,1.053
2/2/2020 7:42,C,1.053
2/2/2020 11:42,C,1.053
2/2/2020 15:42,C,1.053
2/2/2020 19:42,C,1.053
2/2/2020 23:42,C,1.053
2/3/2020 3:42,C,1.053
2/3/2020 7:42,C,1.053
2/3/2020 11:42,C,1.053
2/3/2020 15:42,C,1.053
