site,rep,position,degree.days,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09
C2A,R0,air,3325.58,123.92999999999999,82.21,3.24,0.13,3.08,78.47,156.51,418.9,636.05,696.46,645.35,481.25
C2A,R1,lsurf,3155.12,143.57999999999998,58.04,0.23,0.14,NA,27.13,120.81,406.13,614.04,678.61,640.33,466.08
C2A,R1,m0surf,2756.41,205.64000000000001,82.58,2.0500000000000003,0.07,NA,5.73,76.78,288.08000000000004,488.71,579.73,573.12,453.92
C2A,R1,m10,2566.24,248.51999999999998,113.96,16.54,1.1500000000000001,NA,1.2000000000000002,52.57,239,410.37,513.51,525.48,443.94
C2A,R1,m30,2423.18,262.26,125,29.67,1.8900000000000001,NA,NA,39.38,206.16,366.84,470.21999999999997,493.5,428.26
C2A,R1,m50,2621.77,297.5,162.29,70.42,40.35,4.86,12.530000000000001,53.68,211.27,361.69,466.42,497.09,443.67
C2A,R2,lsurf,3067.51,132.8,57.57,0.41,NA,NA,33.08,132.79,379.33,594.83,658.63,619.74,458.33
C2A,R2,m0surf,2655.13,189.35,77.24,1.56,0.03,NA,3.66,92.79,278.86,473.98,557.68,549.48,430.5
C2A,R2,m10,2616.05,240.01,118.03999999999999,26.97,11.17,0.21000000000000002,3.3600000000000003,91.28,255.80999999999997,414.62,505.94,514.45,434.19
C2A,R2,m30,2465.47,258.54,134.4,45.3,17.96,0.63,1.56,74.42,220.25,362.91,454.82,477.17,417.51
C2A,R3,m0surf,2606.4,198.82,85.05,2.4899999999999998,0.24,NA,4.140000000000001,87.88,279.4,442.69,537.52,532.64,435.53000000000003
C2A,R3,m10,2733.31,244.43,124.10000000000001,31.46,16.34,0.4,13.749999999999998,96.43,275.02000000000004,427.71000000000004,523.87,531.05,448.75
C2A,R3,m30,2568.44,262.93,137.7,48.760000000000005,28.51,2.22,2.53,78.66,236.66,375.95,471.12,493.59,429.81
C2B,R0,air,3119.52,115.73,62.35,1.28,NA,1.14,71.16,149.15,404.21,595.3,656.24,616.54,446.42
C2B,R1,m0surf,2532.71,203.51,85.66,6.48,NA,NA,1.47,97.16,269.79,419.64,512.36,510.93,425.71
C2B,R1,m10,2450.9700000000003,220.97,99.59,15.72,0.8,NA,0.28,89.26,248.27,388.08,481.82,490.37,415.81
C2B,R1,m30,2489.8,256.51,134,51.12,28.42,2.8899999999999997,4.69,92.98,229.8,355.17,449.17,471.42,413.63
C2B,R1,m50,2448.33,274.53999999999996,157.82999999999998,80.39,46.77,10.81,11.889999999999999,90.21000000000001,209.96,318.36,410.38,439.66999999999996,397.52
C2B,R2,lsurf,2989.87,122.03,49.05,0.09,0.09,NA,42.4,136.2,401.52,573.57,631.0400000000001,598.97,434.91
C2B,R2,m0surf,2557.86,217.61999999999998,95.75,9.86,0.56,NA,2.08,80.21,264.06,421.36,514.93,518.95,432.48
C2B,R2,m10,2587.3,240.92000000000002,113.23,28.36,8.41,NA,12.18,83.43,255.04,404.16,499.71,509.48999999999995,432.37
C2B,R2,m30,2530.57,264.89,137.65,54.230000000000004,29.09,2.71,8.93,79.6,228.98999999999998,360.69,458.88,481.52000000000004,423.39000000000004
C2B,R3,lsurf,2856.08,116.14999999999999,48.379999999999995,NA,NA,NA,31.47,118.91999999999999,374.26,540.81,614.2,588.84,423.05
C2B,R3,m0surf,2526.82,209,91.06,7.67,NA,NA,0.06,66.73,258.83,421.62,520.39,520.98,430.48
C2B,R3,m10,2408.5499999999997,226.72,102.96000000000001,20.26,1.4700000000000002,NA,1.61,56.910000000000004,230.13,379.08,479.89,491.74,417.78
C2B,R3,m30,2331.2599999999998,250.95,124.69,40.83,14.089999999999998,0.35000000000000003,1.33,53.75,203.87,338.01,436.32,462.11,404.96
C5A,R1,lsurf,3087.13,137.48,53.29,NA,NA,NA,56.35,147.31,413.96,602.38,632.4,606.19,437.77
C5A,R1,m0surf,3020.04,138.37,50.8,NA,NA,NA,49.02,144.10999999999999,417.48,599.39,614.57,583.41,422.89
C5A,R1,m10,2950.73,172.89,53.52,NA,NA,NA,27.8,119.65,387.32,573.07,613.02,592.96,410.5
C5A,R1,m30,2774.54,245.24,122.31,22.73,10.040000000000001,NA,29.75,123.9,300.71000000000004,450.39,530.38,516.42,422.67
C5A,R1,m50,2542.93,265.28,150.73,62.1,33.89,0.30000000000000004,21.23,99,243.79,371.9,452.21999999999997,455.02,387.46999999999997
C5A,R2,lsurf,3092.68,144.72,54.39,NA,NA,NA,42.48,137.3,398.34,598.54,655.8,609.52,451.59
C5A,R2,m0surf,3073.23,159.85999999999999,55.71,NA,NA,NA,38.66,138.29,395.04,584.85,642.83,605.2,452.79
C5A,R2,m10,2738.95,220.26,87.83,5.62,0.14,NA,9.79,114.12,302.66,471.05,553.5,542.75,431.23
C5A,R2,m30,2591.17,267.05,134.4,43.879999999999995,16.22,NA,7.359999999999999,98.32,246.5,391.15000000000003,483.56,490.22,412.51
C5A,R3,m01surf,2817.17,129.17,53.410000000000004,NA,NA,NA,38.41,116.24,363.74,535.49,587.12,574.82,418.77
C5A,R3,m02surf,2962.93,137.7,54.53,NA,NA,NA,39.97,128.89000000000001,389.53,567.38,614.61,597.59,432.73
C5A,R3,m10,2647.69,211.19,100.58,11.450000000000001,1.77,NA,7.17,97.43,274.64,457.15,539.1899999999999,526.65,420.46999999999997
C5A,R3,m30,2534.78,273.31,166.15,77.3,44.01,2.5,11.89,87.48,216.22,356.71,445.94,456.92,396.35
C5B,R0,air,3096.1,111.02,71.42,0.75,NA,1.6600000000000001,63.269999999999996,133.71,384.12,591.78,659.46,625.43,453.47999999999996
C5B,R1,lsurf,3003.07,136.9,53.15,NA,NA,NA,36.63,114.54,399.28,563.03,651.9,603.04,444.6
C5B,R1,m0surf,2872.18,189.37,73.02,0.24,0.16,NA,15.71,86.58,335.48,513.78,608.97,592.99,455.88
C5B,R1,m10,2735.58,237.98,106.96,19.37,2.24,NA,13.64,55.41,275.52,443.2,553.58,561.0600000000001,466.62
C5B,R1,m30,2395.61,241.47,103.03,13.71,NA,NA,NA,15.690000000000001,215.54999999999998,373.74,486.27000000000004,508.86,437.29
C5B,R2,lsurf,3079.62,124.31,61.28,0.28,0.03,NA,46.61,132,381.88,587.06,653.42,628.13,464.62
C5B,R2,m0surf,2944.48,146.7,55.94,0.14,NA,NA,21.91,108.38,358.25,550.67,627.67,616.6,458.21999999999997
C5B,R2,m10,2671.2,205.14999999999998,84.28,5.83,0.07,NA,2.25,72.11,280.03,454.54,555.25,560,451.69
C5B,R2,m30,2616.46,238.39,109.59,16.5,0.5,NA,1.2000000000000002,61.35,254.68,418.14,525.34,540.78,449.99
C5B,R2,m50,2520.03,278.79,143.42,51.26,11.89,NA,0.69,49.24,212.69,358.36,469.39,503.83,440.47
C5B,R3,lsurf,3037.5099999999998,125.58,58.41,NA,NA,NA,39.07,122.66,375.28,571.5699999999999,649.76,636.91,458.27000000000004
C5B,R3,m0surf,2824.11,147.96,51.73,NA,NA,NA,12.18,92.34,325.26,526.57,610.21,608.71,449.15000000000003
C5B,R3,m10,2721.09,206,83.48,6.930000000000001,0.18,NA,1.78,66.63,289.01,461.32,565.47,577.95,462.34
C5B,R3,m30,2583.66,246.10999999999999,111.73,25.75,0.63,NA,0.6599999999999999,39.769999999999996,243.1,403.55,513.44,542.03,456.89
D2A,R0,air,3077.8,112.11,64.66,0.96,NA,0.7,62.44,150.26,401.66,586.94,650.08,605.02,442.97
D2A,R1,lsurf,2906.7,131.72,38.67,NA,NA,NA,19.05,129.33,393.17,556.02,627.79,588.14,422.81
D2A,R1,m0surf,2478.9700000000003,211.64000000000001,78.32,0.18,NA,NA,NA,68.5,266.17,418.95,514.74,507.81,412.66
D2A,R1,m10,2501.97,242.94,109.89,24.58,17.669999999999998,3.6999999999999997,1.74,71.98,251.02999999999997,390.5,486.65000000000003,490.23,411.06
D2A,R1,m30,2465.08,264.05,135.3,52.97,32.86,14.680000000000001,15.510000000000002,71.61,226.45,349.63,442.61,459.46999999999997,399.94
D2A,R1,m50,2403.33,273.64,149.69,69.06,47.43,26.42,16.68,69.58,204.77,317.75,407.48,432.6,388.23
D2A,R2,lsurf,2805.66,135.19,40.35,NA,NA,NA,29.990000000000002,140.63,376.35,521.67,591.58,558.98,410.92
D2A,R2,m0surf,2529,220.6,91.07000000000001,2.58,2.8800000000000003,0.30000000000000004,10.86,109.14,269.85,407.89,503.04,500.94,409.85
D2A,R2,m10,2395.25,236.82999999999998,108.96,24.19,17.360000000000003,3.9400000000000004,7.09,94.25,236.28,358.11,453.06,463.40999999999997,391.77
D2A,R3,lsurf,2851.19,149.88,45.15,NA,0.1,0.04,13.09,132.74,388.37,532.37,600.53,569.43,419.49
D2A,R3,m0surf,2580.67,184.3,58.71,NA,0.44999999999999996,NA,2.65,97.23,304.46000000000004,456.38,543.12,524.09,409.28000000000003
D2A,R3,m10,2393.37,223.82,104.17,19.39,12.360000000000001,2.3000000000000003,0.6,73.12,244.47,377.64,469.32,473.9,392.28
D2A,R3,m30,2493.96,260.69,144.5,62.16,48.67,25.87,18.419999999999998,81.54,227.04999999999998,343.21999999999997,433.49,453.93,394.41999999999996
D2B,R0,air,3349.33,128.32,78.53,2.37,NA,2.09,94.33,163.96,426.57,636.43,688.08,641.55,487.1
D2B,R1,lsurf,3421.67,139.68,64.23,1.46,NA,NA,71.3,188,454.38,662.89,695.99,646.86,496.88
D2B,R1,m0surf,2651.5,217.65,79.24,0.4,0.12,NA,3.27,94.74,297.53000000000003,445.77,533.46,534.14,445.18
D2B,R1,m10,2640.83,241.60999999999999,99.03,7.47,0.31,0.04,0.34,88.96,284.16,427.33,517.76,526.63,447.19
D2B,R1,m30,2580.41,268.8,126.11,37.27,16.43,4.36,2.92,78.13,249.82,383.4,477.81,498.23999999999995,437.12
D2B,R1,m50,2557.81,289.39,149.35,62.74,38.230000000000004,14.120000000000001,11.780000000000001,71.83,223.84,349.32,444.62,475.44,427.15
D2B,R2,lsurf,3356.58,156.4,68.11,1.48,NA,0.06,74.44,169.79999999999998,436.71,622.47,679.6899999999999,639.12,508.3
D2B,R2,m0surf,2707.48,232.54000000000002,96.57000000000001,3.54,0.16,NA,5.19,111.89,291.09000000000003,436.64,529.87,537.64,462.35
D2B,R2,m10,2690.43,254.83,115.52,19.89,7.800000000000001,0.24,3.64,108.27,276.71,413.28999999999996,507.21,522.9300000000001,460.1
D2B,R2,m30,2791.21,294.27,155.01999999999998,64.77,43.760000000000005,13.530000000000001,18.669999999999998,110.39999999999999,259.46999999999997,385.28999999999996,481.11,507.21,457.71000000000004
D2B,R3,lsurf,3713.5299999999997,147.76,65.96,1.9,NA,0.24,93.97,206.57,481.59999999999997,682.1,756.03,736.22,541.18
D2B,R3,m0surf,2985.35,249.94,115.09,14.92,7.460000000000001,0.7000000000000001,28.91,141.72,319.99,473.09000000000003,571.25,574.29,487.99
D2B,R3,m10,2939.87,273.28999999999996,135.9,38.06,20.31,7.659999999999999,29.33,131.57999999999998,295.94,438.10999999999996,536.02,551.4,482.27
D2B,R3,m30,2870.61,292.89,154.44,62.58,34.97,20.53,30.41,120.46,267.12,398.61,496.75,522.51,469.34
D5A,R0,air,3076.61,114.00999999999999,66.07,0.59,NA,0.84,62.919999999999995,140.35,395.98,577.4,651.85,609.9,456.7
D5A,R1,lsurf,3018.52,144.17,51.589999999999996,NA,0.07,NA,34.06,141.62,393.12,547.7,637.31,608.95,459.93
D5A,R1,m0surf,2946.04,164.27,51.06,NA,0.08,0.04,23.06,132.28,366.48,524.69,623.74,601.48,458.86
D5A,R1,m10,2725.71,217.09,85.6,7.680000000000001,0.9299999999999999,0.42,1.1199999999999999,97.81,304.58000000000004,461.13,554.59,549.74,445.02000000000004
D5A,R1,m30,2684.27,253.42000000000002,118.62,40.2,31.02,7.97,9.19,86.36,266.97,411.01000000000005,506.43,517.37,435.71000000000004
D5A,R1,m50,2586.51,270.66,134.1,55.65,31.93,20,16.26,74.54,234.52,370.97,465.04,489.5,423.34000000000003
D5A,R2,lsurf,3003.88,174.91,54.11,0.04,0.16,NA,29.61,128.35999999999999,377.6,538.28,631.9399999999999,606.13,462.74
D5A,R2,m0surf,2876.44,182.84,55.26,NA,0.08,NA,15.22,108.82000000000001,351.39,512.48,608.43,589.64,452.28
D5A,R2,m10,2622.32,211.02,76.56,2.8200000000000003,0.15000000000000002,NA,NA,64.94,299.34,452.7,542.74,538.88,433.17
D5A,R2,m30,2683.04,257.44,116.86,40.12,25.75,2.5100000000000002,0.28,68.63,276.79,420.85,510.69,524.23,438.89000000000004
D5A,R3,lsurf,3115.42,171.02,59.330000000000005,0.02,0.62,0.12000000000000001,41.769999999999996,164.53,401.17,552.53,646.74,613.54,464.03
D5A,R3,m0surf,2997.92,189.62,60.4,0.45,1.21,0.1,30.79,151.04,369.01,519.97,617.8299999999999,595.87,461.63
D5A,R3,m10,2789.69,234.01,98.31,20.66,15.409999999999998,1.9100000000000001,2.0300000000000002,108.59,311.92,458.37,547.18,546.37,444.93
D5A,R3,m30,2768.66,269.41,128.29,47.120000000000005,34.1,19.05,18.599999999999998,100.37,277.62,414.4,502.56,518.59,438.55
